순번,의료기관명,의료기관주소(도로명),의료기관전화번호,병상,관리기관,관리기관 전화번호,데이터 기준일자
351,다정한의원,강원특별자치도 원주시 중앙로 40 (중앙동),033-735-7525,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
352,연희영상의학과의원,"강원특별자치도 원주시 북원로 2235-6, 4층 (단계동, 남원주타워)",033-735-7570,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
353,이용규내과의원,"강원특별자치도 원주시 무실로 178, 2층 (단계동, 원예농협하나로클럽)",033-731-7582,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
354,연세안과의원,"강원특별자치도 원주시 원일로 119, 2층 (일산동)",033-731-0505,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
355,조은가정의원,강원특별자치도 원주시 태장둔치길 41 (태장동),033-745-7734,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
356,단계뿌리깊은치과의원,강원특별자치도 원주시 서원대로 165 (단계동),033-743-4025,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
357,한초당한의원,강원특별자치도 원주시 평원로 61 (중앙동),033-732-2965,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
358,김동우외과의원,강원특별자치도 원주시 문막읍 왕건로 81 (동화빌딩),033-734-0061,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
359,윤장운마취통증의학과의원,"강원특별자치도 원주시 중앙로 86, 5층 (중앙동, 세븐스타빌딩)",033-747-0094,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
360,최원규소아청소년과의원,강원특별자치도 원주시 원일로115번길 5 (일산동),033-734-9595,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
361,우리들소아청소년과의원,강원특별자치도 원주시 감영길 11 (일산동),033-747-0202,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
362,홍&권이비인후과의원,"강원특별자치도 원주시 중앙로 105, 2층,3층 (중앙동)",033-735-7707,5,강원특별자치도 원주시청,033-737-4022,2025-11-25
363,상지명인한의원,강원특별자치도 원주시 무실로 64 (일산동),033-731-1075,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
364,맑은숲 한의원,"강원특별자치도 원주시 시청로 72, 205호 (무실동, 애드피아 3차)",033-743-8575,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
365,스마일연세의원,"강원특별자치도 원주시 서원대로 502, 2층 (단구동, 골드프라자)",033-744-0411,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
366,이형준내과의원,"강원특별자치도 원주시 원일로 120, 3층 302호 (중앙동, 중앙빌딩)",033-732-7575,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
367,21세기소아청소년과의원,강원특별자치도 원주시 봉화로 27 (단계동),033-745-0815,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
368,미즈산부인과의원,강원특별자치도 원주시 이화6길 1 (단계동),033-733-6100,5,강원특별자치도 원주시청,033-737-4022,2025-11-25
369,세진한의원,강원특별자치도 원주시 남원로 592 (명륜동),033-761-3116,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
370,미래산부인과의원,강원특별자치도 원주시 단구로 183 (명륜동),033-766-8008,24,강원특별자치도 원주시청,033-737-4022,2025-11-25
371,고려한의원,강원특별자치도 원주시 남원로 656 (명륜동),033-766-8212,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
372,최동익성형외과의원,"강원특별자치도 원주시 서원대로 396, 3층 301호 (단구동)",033-744-3737,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
373,내몸사랑한의원,"강원특별자치도 원주시 로아노크로 74, 세이브타워 401호 (무실동)",033-731-9995,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
374,만나한의원,"강원특별자치도 원주시 무실로 177, 2층 (명륜동)",033-763-1075,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
375,동강한의원,강원특별자치도 원주시 한지공원길 2 (명륜동),033-766-8555,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
376,하나치과의원,강원특별자치도 원주시 무실로 164 (단계동),033-745-2875,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
377,리더스치과의원,강원특별자치도 원주시 봉화로 65 (단계동),033-742-2025,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
378,광동한의원,강원특별자치도 원주시 치악로 1793 (개운동),033-766-3900,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
379,은행나무한의원,강원특별자치도 원주시 문막읍 원문로 1883,033-743-8297,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
380,만종의원,강원특별자치도 원주시 호저면 사제로 596 (원주운전면허시험장),033-747-8544,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
381,원주영상의학과의원,"강원특별자치도 원주시 능라동길 61, 정한빌딩  607~608호 (무실동)",033-764-9700,4,강원특별자치도 원주시청,033-737-4022,2025-11-25
382,대흥한의원,강원특별자치도 원주시 원문로 186 (단계동),033-731-8275,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
383,예사랑산부인과의원,"강원특별자치도 원주시 원일로 120, 6층 (중앙동, 중앙빌딩)",033-764-3333,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
384,연세민내과의원,"강원특별자치도 원주시 중앙로 86, 4층 (중앙동, 세븐스타빌딩)",033-733-7582,7,강원특별자치도 원주시청,033-737-4022,2025-11-25
385,거북이한의원,강원특별자치도 원주시 소초면 장막1길 15,033-748-3322,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
386,세한치과의원,"강원특별자치도 원주시 문막읍 문막시장1길 27, 3층",033-735-2875,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
387,손안과의원,"강원특별자치도 원주시 서원대로 170, 재영빌딩 6층 (단계동)",033-764-6494,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
388,이하우신경외과의원,강원특별자치도 원주시 치악로 1864 (봉산동),033-745-3686,29,강원특별자치도 원주시청,033-737-4022,2025-11-25
389,송내과의원,"강원특별자치도 원주시 원일로115번길 5, 4층 (일산동, 홍제빌딩)",033-746-2100,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
390,연세봄산부인과의원,강원특별자치도 원주시 시청로 98 (무실동),033-745-5600,10,강원특별자치도 원주시청,033-737-4022,2025-11-25
391,손경수내과의원,"강원특별자치도 원주시 남원로 665, 1층일부,2,3,4층 (명륜동)",033-763-8252,4,강원특별자치도 원주시청,033-737-4022,2025-11-25
392,판대보건진료소,강원특별자치도 원주시 지정면 장지길 2,033-732-5731,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
393,중국한의원,"강원특별자치도 원주시 치악로 1657-1, 1~2층 (단구동)",033-761-0982,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
394,혜명한의원,강원특별자치도 원주시 원일로 12 (인동),033-764-0660,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
395,서울내과의원,강원특별자치도 원주시 장미공원길 43-2 (단계동),033-732-1344,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
396,연세피부과의원,"강원특별자치도 원주시 원일로 111, 2,3층 (일산동)",033-748-0480,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
397,연세참외과의원,"강원특별자치도 원주시 서원대로 392, 3층 (단구동)",033-764-0048,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
398,전치과의원,강원특별자치도 원주시 원일로 122-1 (중앙동),033-743-5752,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
399,튼튼치과의원,"강원특별자치도 원주시 단구로 412, 2층 (단구동, 세경상가)",033-748-3443,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
400,연규홍소아청소년과의원,"강원특별자치도 원주시 남원로534번길 26, 3층 (단구동, 중앙빌딩)",033-764-1808,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
401,송광선내과의원,강원특별자치도 원주시 문막읍 문막시장1길 14,033-734-2020,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
402,늘푸른치과의원,"강원특별자치도 원주시 흥양로51번길 1, 2층 (태장동, 원마트)",033-744-5363,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
403,연세본비뇨기과의원,"강원특별자치도 원주시 시청로 84, 3층 301호 (무실동, 애드피아)",033-746-5667,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
404,최해천성형외과의원,강원특별자치도 원주시 남원로 622 (개운동),033-765-7575,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
405,혜민한의원,강원특별자치도 원주시 단구로 78 (단계동),033-731-7967,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
406,이광훈내과의원,"강원특별자치도 원주시 평원로 76, 4,5층 (평원동)",033-746-5300,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
407,원의원,강원특별자치도 원주시 우산로 42 (우산동),033-744-8275,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
408,세브란스치과의원,강원특별자치도 원주시 원일로115번길 13 (일산동),033-748-2842,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
409,명성한의원,강원특별자치도 원주시 원문로 106 (단계동),033-746-5201,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
410,미소치과의원,"강원특별자치도 원주시 시청로 84, 3층 (무실동)",033-735-7538,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
411,이신경정신과의원,"강원특별자치도 원주시 원일로 114, 2층 (중앙동)",033-744-1142,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
412,이성우내과의원,강원특별자치도 원주시 평원로 54 (평원동),033-746-2888,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
413,김대균의원,"강원특별자치도 원주시 단구로 404, 2층 (단구동)",033-735-9201,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
414,탑치과의원,강원특별자치도 원주시 치악로 1786 (개운동),033-766-2875,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
415,오복치과의원,강원특별자치도 원주시 무실로 122 (원동),033-748-3214,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
416,함경종정형외과의원,강원특별자치도 원주시 평원로 52 (평원동),033-732-0700,29,강원특별자치도 원주시청,033-737-4022,2025-11-25
417,상아치과의원,"강원특별자치도 원주시 서원대로 402, 3층 (단구동, 대신프라자)",033-763-3477,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
418,조안과의원,"강원특별자치도 원주시 원일로115번길 12, 2층 (일산동)",033-746-8005,1,강원특별자치도 원주시청,033-737-4022,2025-11-25
419,강남영내과의원,"강원특별자치도 원주시 행구로 39, 2층 (개운동)",033-763-6390,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
420,부부치과의원,"강원특별자치도 원주시 중앙로 105, 5,6층 (중앙동)",033-745-1880,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
421,연세남부내과의원,"강원특별자치도 원주시 남원로 667, 2층 (명륜동)",033-763-2398,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
422,위치과의원,"강원특별자치도 원주시 원문로 106, 4층 (단계동, 선암빌딩)",033-748-4959,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
423,안흥한의원,강원특별자치도 원주시 북원로 2684 (태장동),033-748-3895,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
424,원일치과의원,"강원특별자치도 원주시 남원로534번길 14, 2층 (단구동)",033-764-2840,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
425,민영의원,강원특별자치도 원주시 북원로 2695 (가현동),033-732-9798,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
426,백태준성형외과의원,강원특별자치도 원주시 감영길 11 (일산동),033-735-7575,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
427,최영권치과의원,"강원특별자치도 원주시 무실로 8, 3층 (일산동, 명동프라자)",033-746-6585,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
428,고승연신경외과의원,강원특별자치도 원주시 남원로 548 (개운동),033-764-0625,29,강원특별자치도 원주시청,033-737-4022,2025-11-25
429,북원치과의원,강원특별자치도 원주시 북원로 2698-1 (태장동),033-748-2584,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
430,하나로치과의원,"강원특별자치도 원주시 치악로 1527, 2층 (관설동, 판부하나로마트)",033-763-2872,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
431,고려가정의원,"강원특별자치도 원주시 예술관길 25 (명륜동, 명륜2차아파트)",033-763-3552,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
432,민제한의원,강원특별자치도 원주시 서원대로 402 (단구동),033-762-4414,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
433,중의한의원,강원특별자치도 원주시 중앙로 70 (중앙동),033-742-2038,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
434,황선달치과의원,강원특별자치도 원주시 원일로 114 (중앙동),033-731-2242,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
435,학교법인상지학원부설상지푸른의원,"강원특별자치도 원주시 상지대길 80, 상지대학교부속상지한방병원 (우산동)",033-741-9235,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
436,이진호이비인후과의원,강원특별자치도 원주시 원일로 93 (일산동),033-744-5015,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
437,오은경소아청소년과의원,"강원특별자치도 원주시 영랑길 14-2, 청연재빌딩 5층 502호 (행구동)",033-765-2027,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
438,김창동이비인후과의원,강원특별자치도 원주시 천사로 216 (중앙동),033-744-6864,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
439,스마일치과의원,강원특별자치도 원주시 문막읍 문막시장1길 10,033-735-2860,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
440,이영호치과의원,"강원특별자치도 원주시 원일로115번길 5, 3층 (일산동, 홍제빌딩)",033-744-9192,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
441,강봉선신경정신과의원,"강원특별자치도 원주시 서원대로 383, 3층 401호 (개운동, 한신프라자)",033-744-3884,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
442,오킴스의원,강원특별자치도 원주시 남원로 589-5 (명륜동),033-761-0072,18,강원특별자치도 원주시청,033-737-4022,2025-11-25
443,천진호치과의원,강원특별자치도 원주시 능라동길 65 (무실동),033-746-8604,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
444,이재순내과의원,강원특별자치도 원주시 원일로115번길 1 (일산동),033-748-5200,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
445,백피부과의원,강원특별자치도 원주시 원일로115번길 1 (일산동),033-748-1291,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
446,중앙치과의원,강원특별자치도 원주시 원일로 104-1 (중앙동),033-743-6936,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
447,중앙정형외과의원,강원특별자치도 원주시 학성철길 59 (학성동),033-743-5221,29,강원특별자치도 원주시청,033-737-4023,2025-11-25
448,박규래정형외과의원,강원특별자치도 원주시 무실로 26 (일산동),033-746-5538,27,강원특별자치도 원주시청,033-737-4024,2025-11-25
449,권혁준내과의원,강원특별자치도 원주시 서원대로 156 (단계동),033-746-2878,0,강원특별자치도 원주시청,033-737-4025,2025-11-25
450,고산보건진료소,강원특별자치도 원주시 호저면 광학로 16,033-732-3818,0,강원특별자치도 원주시청,033-737-4026,2025-11-25
451,산현보건진료소,강원특별자치도 원주시 호저면 칠봉로 380,033-737-4523,0,강원특별자치도 원주시청,033-737-4027,2025-11-25
452,김남두비뇨기과의원,강원특별자치도 원주시 원일로 114 (중앙동),033-742-0193,0,강원특별자치도 원주시청,033-737-4028,2025-11-25
453,홍성국신경정신과의원,강원특별자치도 원주시 원일로 150-1 (학성동),033-743-5356,0,강원특별자치도 원주시청,033-737-4029,2025-11-25
454,지정면보건지소,강원특별자치도 원주시 지정면 간현로 126,033-737-4534,0,강원특별자치도 원주시청,033-737-4030,2025-11-25
455,황둔보건진료소,강원특별자치도 원주시 신림면 신림황둔로 1213,033-761-2188,0,강원특별자치도 원주시청,033-737-4031,2025-11-25
456,단강보건진료소,강원특별자치도 원주시 부론면 부귀로 753,033-764-9043,0,강원특별자치도 원주시청,033-737-4032,2025-11-25
457,비두보건진료소,강원특별자치도 원주시 문막읍 귀문로 956,033-732-3507,0,강원특별자치도 원주시청,033-737-4033,2025-11-25
458,사제보건진료소,강원특별자치도 원주시 흥업면 사제로 424,033-763-5661,0,강원특별자치도 원주시청,033-737-4034,2025-11-25
459,학곡보건진료소,강원특별자치도 원주시 소초면 구룡사로 5,033-732-4290,0,강원특별자치도 원주시청,033-737-4035,2025-11-25
460,한국한센복지협회강원도지부부설복지의원,강원특별자치도 원주시 원일로 155 (일산동),033-742-8718,0,강원특별자치도 원주시청,033-737-4036,2025-11-25
461,경희한의원,강원특별자치도 원주시 향교길 56 (명륜동),033-765-5213,0,강원특별자치도 원주시청,033-737-4037,2025-11-25
462,김이비인후과의원,강원특별자치도 원주시 원일로 127 (일산동),033-743-6161,0,강원특별자치도 원주시청,033-737-4038,2025-11-25
463,서울외과의원,강원특별자치도 원주시 원일로 169 (학성동),033-742-1204,15,강원특별자치도 원주시청,033-737-4039,2025-11-25
464,흥업면보건지소,강원특별자치도 원주시 흥업면 울업1길 3,033-737-4537,0,강원특별자치도 원주시청,033-737-4040,2025-11-25
465,신림면보건지소,강원특별자치도 원주시 신림면 치악로 32,033-737-4539,0,강원특별자치도 원주시청,033-737-4041,2025-11-25
466,귀래면보건지소,강원특별자치도 원주시 귀래면 북원로 106,033-737-4536,0,강원특별자치도 원주시청,033-737-4042,2025-11-25
467,호저면보건지소,강원특별자치도 원주시 호저면 호저로 429,033-737-4533,0,강원특별자치도 원주시청,033-737-4043,2025-11-25
468,소초면보건지소,강원특별자치도 원주시 소초면 치악로 2790,033-737-4532,0,강원특별자치도 원주시청,033-737-4044,2025-11-25
469,부론면보건지소,강원특별자치도 원주시 부론면 법천시장길 59,033-737-4535,0,강원특별자치도 원주시청,033-737-4045,2025-11-25
470,문막읍보건지소,강원특별자치도 원주시 문막읍 건등로 11,033-737-4531,0,강원특별자치도 원주시청,033-737-4046,2025-11-25
471,원주시보건소,"강원특별자치도 원주시 원일로 139, 3층 (일산동, 건강문화센터)",033-737-4026,0,강원특별자치도 원주시청,033-737-4047,2025-11-25
